,date,stid,gauge,discharge,rainfall_inches,rainfall_ft
0,2007-10-01,RA101,2.4,23.9,0.0,0.0
1,2007-10-02,RA101,2.39,23.2,0.0,0.0
2,2007-10-03,RA101,2.39,23.2,0.0,0.0
3,2007-10-04,RA101,2.39,23.2,0.0,0.0
4,2007-10-05,RA101,2.42,25.2,0.0,0.0
5,2007-10-06,RA101,2.43,25.9,0.0,0.0
6,2007-10-07,RA101,2.43,25.9,0.0,0.0
7,2007-10-08,RA101,2.43,25.9,0.0,0.0
8,2007-10-09,RA101,3.48,171.0,0.0,0.0
9,2007-10-10,RA101,4.08,297.0,0.0,0.0
10,2007-10-11,RA101,3.02,92.0,0.1,0.01
11,2007-10-12,RA101,2.86,69.2,0.1,0.01
12,2007-10-13,RA101,2.69,48.5,0.0,0.0
13,2007-10-14,RA101,2.72,51.8,0.0,0.0
14,2007-10-15,RA101,2.69,48.5,0.0,0.0
15,2007-10-16,RA101,2.67,46.4,0.0,0.0
16,2007-10-17,RA101,2.64,43.3,0.0,0.0
17,2007-10-18,RA101,2.61,40.2,0.0,0.0
18,2007-10-19,RA101,3.27,133.0,0.25,0.02
19,2007-10-20,RA101,3.33,143.0,0.2,0.02
20,2007-10-21,RA101,2.7,49.6,0.0,0.0
21,2007-10-22,RA101,2.64,43.3,0.0,0.0
22,2007-10-23,RA101,2.59,38.3,0.0,0.0
23,2007-10-24,RA101,2.68,47.5,0.1,0.01
24,2007-10-25,RA101,3.07,99.6,0.1,0.01
25,2007-10-26,RA101,3.36,149.0,0.2,0.02
26,2007-10-27,RA101,6.56,970.0,1.4,0.12
27,2007-10-28,RA101,4.43,378.0,0.0,0.0
28,2007-10-29,RA101,3.49,173.0,0.0,0.0
29,2007-10-30,RA101,3.18,117.0,0.0,0.0
30,2007-10-31,RA101,3.01,90.5,0.0,0.0
31,2007-11-01,RA101,2.89,73.3,0.0,0.0
32,2007-11-02,RA101,2.81,62.7,0.0,0.0
33,2007-11-03,RA101,2.76,56.4,0.0,0.0
34,2007-11-04,RA101,2.71,50.7,0.0,0.0
35,2007-11-05,RA101,2.69,48.5,0.0,0.0
36,2007-11-06,RA101,2.89,73.3,0.09,0.01
37,2007-11-07,RA101,2.77,57.7,0.0,0.0
38,2007-11-08,RA101,2.66,45.3,0.0,0.0
39,2007-11-09,RA101,2.65,44.3,0.0,0.0
40,2007-11-10,RA101,2.68,47.5,0.0,0.0
41,2007-11-11,RA101,2.68,47.5,0.0,0.0
42,2007-11-12,RA101,2.7,49.6,0.0,0.0
43,2007-11-13,RA101,2.75,55.2,0.03,0.0
44,2007-11-14,RA101,2.7,49.6,0.0,0.0
45,2007-11-15,RA101,3.05,96.5,0.13,0.01
46,2007-11-16,RA101,2.9,74.6,0.0,0.0
47,2007-11-17,RA101,2.69,48.5,0.0,0.0
48,2007-11-18,RA101,2.68,47.5,0.04,0.0
49,2007-11-19,RA101,2.72,51.8,0.05,0.0
50,2007-11-20,RA101,2.76,56.4,0.1,0.01
51,2007-11-21,RA101,2.72,51.8,0.0,0.0
52,2007-11-22,RA101,2.75,55.2,0.0,0.0
53,2007-11-23,RA101,2.68,47.5,0.0,0.0
54,2007-11-24,RA101,2.65,44.3,0.0,0.0
55,2007-11-25,RA101,2.63,42.2,0.0,0.0
56,2007-11-26,RA101,3.46,167.0,0.2,0.02
57,2007-11-27,RA101,3.05,96.5,0.1,0.01
58,2007-11-28,RA101,2.9,74.6,0.0,0.0
59,2007-11-29,RA101,2.8,61.4,0.0,0.0
60,2007-11-30,RA101,2.78,58.9,0.0,0.0
61,2007-12-01,RA101,2.73,52.9,0.0,0.0
62,2007-12-02,RA101,2.95,81.7,0.09,0.01
63,2007-12-03,RA101,4.28,343.0,0.22,0.02
64,2007-12-04,RA101,3.21,122.0,0.0,0.0
65,2007-12-05,RA101,3.06,98.1,0.0,0.0
66,2007-12-06,RA101,3.0,89.0,0.0,0.0
67,2007-12-07,RA101,2.93,78.8,0.0,0.0
68,2007-12-08,RA101,2.88,71.9,0.0,0.0
69,2007-12-09,RA101,3.06,98.1,0.07,0.01
70,2007-12-10,RA101,3.22,124.0,0.01,0.0
71,2007-12-11,RA101,2.94,80.2,0.0,0.0
72,2007-12-12,RA101,2.89,73.3,0.0,0.0
73,2007-12-13,RA101,4.36,361.0,0.18,0.02
74,2007-12-14,RA101,3.9,258.0,0.0,0.0
75,2007-12-15,RA101,3.38,152.0,0.0,0.0
76,2007-12-16,RA101,5.19,573.0,0.3,0.02
77,2007-12-17,RA101,4.38,366.0,0.0,0.0
78,2007-12-18,RA101,3.75,225.0,0.0,0.0
79,2007-12-19,RA101,3.63,201.0,0.0,0.0
80,2007-12-20,RA101,3.33,143.0,0.0,0.0
81,2007-12-21,RA101,3.17,116.0,0.0,0.0
82,2007-12-22,RA101,3.06,98.1,0.0,0.0
83,2007-12-23,RA101,4.28,343.0,0.24,0.02
84,2007-12-24,RA101,4.22,329.0,0.0,0.0
85,2007-12-25,RA101,3.54,183.0,0.0,0.0
86,2007-12-26,RA101,3.53,181.0,0.06,0.0
87,2007-12-27,RA101,3.55,185.0,0.0,0.0
88,2007-12-28,RA101,3.32,141.0,0.06,0.0
89,2007-12-29,RA101,4.69,442.0,0.22,0.02
90,2007-12-30,RA101,3.82,240.0,0.05,0.0
91,2007-12-31,RA101,4.64,429.0,0.21,0.02
92,2008-01-01,RA101,3.89,255.0,0.04,0.0
93,2008-01-02,RA101,3.63,201.0,0.0,0.0
94,2008-01-03,RA101,3.4,156.0,0.0,0.0
95,2008-01-04,RA101,3.21,122.0,0.0,0.0
96,2008-01-05,RA101,3.14,111.0,0.0,0.0
97,2008-01-06,RA101,3.11,106.0,0.0,0.0
98,2008-01-07,RA101,3.11,106.0,0.0,0.0
99,2008-01-08,RA101,3.11,106.0,0.0,0.0
100,2008-01-09,RA101,3.1,104.0,0.0,0.0
101,2008-01-10,RA101,3.08,101.0,0.02,0.0
102,2008-01-11,RA101,3.8,236.0,0.14,0.01
103,2008-01-12,RA101,3.74,223.0,0.0,0.0
104,2008-01-13,RA101,3.74,223.0,0.12,0.01
105,2008-01-14,RA101,3.87,251.0,0.02,0.0
106,2008-01-15,RA101,3.69,213.0,0.0,0.0
107,2008-01-16,RA101,3.53,181.0,0.0,0.0
108,2008-01-17,RA101,3.56,187.0,0.09,0.01
109,2008-01-18,RA101,4.56,410.0,0.08,0.01
110,2008-01-19,RA101,4.02,284.0,0.0,0.0
111,2008-01-20,RA101,3.69,213.0,0.0,0.0
112,2008-01-21,RA101,3.46,167.0,0.0,0.0
113,2008-01-22,RA101,3.3,138.0,0.0,0.0
114,2008-01-23,RA101,3.25,129.0,0.0,0.0
115,2008-01-24,RA101,3.18,117.0,0.0,0.0
116,2008-01-25,RA101,3.12,107.0,0.0,0.0
117,2008-01-26,RA101,3.07,99.6,0.0,0.0
118,2008-01-27,RA101,3.03,93.5,0.0,0.0
119,2008-01-28,RA101,3.01,90.5,0.0,0.0
120,2008-01-29,RA101,2.99,87.5,0.02,0.0
121,2008-01-30,RA101,3.05,96.5,0.1,0.01
122,2008-01-31,RA101,3.02,92.0,0.0,0.0
123,2008-02-01,RA101,6.17,850.0,0.4,0.03
124,2008-02-02,RA101,6.01,803.0,0.0,0.0
125,2008-02-03,RA101,4.42,376.0,0.0,0.0
126,2008-02-04,RA101,3.96,271.0,0.0,0.0
127,2008-02-05,RA101,3.69,213.0,0.0,0.0
128,2008-02-06,RA101,3.53,181.0,0.0,0.0
129,2008-02-07,RA101,3.43,162.0,0.0,0.0
130,2008-02-08,RA101,3.36,149.0,0.0,0.0
131,2008-02-09,RA101,3.28,134.0,0.03,0.0
132,2008-02-10,RA101,3.23,126.0,0.0,0.0
133,2008-02-11,RA101,3.17,116.0,0.0,0.0
134,2008-02-12,RA101,3.16,114.0,0.07,0.01
135,2008-02-13,RA101,6.93,1090.0,0.24,0.02
136,2008-02-14,RA101,5.94,782.0,0.0,0.0
137,2008-02-15,RA101,4.91,499.0,0.0,0.0
138,2008-02-16,RA101,4.39,368.0,0.0,0.0
139,2008-02-17,RA101,3.99,278.0,0.1,0.01
140,2008-02-18,RA101,3.88,253.0,0.1,0.01
141,2008-02-19,RA101,3.78,232.0,0.0,0.0
142,2008-02-20,RA101,3.55,185.0,0.0,0.0
143,2008-02-21,RA101,3.38,152.0,0.0,0.0
144,2008-02-22,RA101,3.49,173.0,0.09,0.01
145,2008-02-23,RA101,3.49,173.0,0.0,0.0
146,2008-02-24,RA101,3.4,156.0,0.0,0.0
147,2008-02-25,RA101,3.39,154.0,0.0,0.0
148,2008-02-26,RA101,3.61,197.0,0.05,0.0
149,2008-02-27,RA101,3.64,203.0,0.0,0.0
150,2008-02-28,RA101,3.46,167.0,0.0,0.0
151,2008-02-29,RA101,3.31,140.0,0.02,0.0
152,2008-03-01,RA101,3.32,141.0,0.09,0.01
153,2008-03-02,RA101,3.25,129.0,0.0,0.0
154,2008-03-03,RA101,3.2,121.0,0.0,0.0
155,2008-03-04,RA101,3.17,116.0,0.08,0.01
