agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2001-08-11T00:00:00.000Z,0,,,34021003500,A,0,40.2,-74.8,3,,0,1,0,,4,1960-01-01T00:00:00.000Z,1997-08-14T00:00:00.000Z,,5658.48,,0,1,0,NJ,0,74200,2001,8638,0,bb138e68-351e-4f65-8f33-8ac109586bf4
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2004-09-28T00:00:00.000Z,0,,,34021003400,X,0,40.2,-74.8,3,,0,1,0,,4,1974-12-30T00:00:00.000Z,2003-09-14T00:00:00.000Z,5504.28,914.78,,0,1,0,NJ,19500,14100,2004,8638,0,4b8dc33c-aaca-47a9-8605-923738c67bb5
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2005-10-08T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,2,0,,1,2034-01-01T00:00:00.000Z,2004-12-18T00:00:00.000Z,1094.62,1630.58,,0,1,0,NJ,98400,5000,2005,8638,1,96da2395-bfd0-47b8-8ab9-0b8b5c5a0f69
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2006-06-28T00:00:00.000Z,0,1,,34021003500,X,0,40.3,-74.8,2,,0,2,0,,1,1985-01-01T00:00:00.000Z,2005-11-11T00:00:00.000Z,,,,1,7,0,NJ,250000,100000,2006,8638,1,96440ed2-c3a3-4a80-a66d-a3f69579fb28
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2007-02-11T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,0,,0,2,0,,1,1955-07-01T00:00:00.000Z,2004-03-12T00:00:00.000Z,,,,0,1,0,NJ,55000,0,2007,8609,0,e3b01a03-d731-4542-a786-42505c0a5386
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2007-04-16T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,2,,0,2,0,,1,1982-06-14T00:00:00.000Z,2003-12-25T00:00:00.000Z,,,,0,1,0,NJ,47000,11600,2007,8609,1,836ffb5a-4da9-47ba-ba10-a67a15734cb4
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2007-04-16T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,3,0,,1,1960-01-01T00:00:00.000Z,2003-10-22T00:00:00.000Z,643.36,,,0,1,0,NJ,158000,50000,2007,8638,1,c28de3db-cc0a-4e6e-b341-ba02f51416a4
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2007-04-16T00:00:00.000Z,0,1,,34021001900,C,0,40.2,-74.7,4,,0,2,0,,4,1952-07-01T00:00:00.000Z,1994-01-14T00:00:00.000Z,213318.64,140800,,0,1,0,NJ,214300,140800,2007,8638,0,7712a16d-c2a0-451f-af4a-8bd374fa5e32
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2007-04-15T00:00:00.000Z,0,,,34021003500,AE,0,40.2,-74.8,0,,0,3,0,,4,1976-01-29T00:00:00.000Z,2004-04-06T00:00:00.000Z,19702.28,,,0,1,0,NJ,55000,0,2007,8638,0,9bf8cef9-d13d-4a04-a6e9-a3312a8a8a8d
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2007-04-16T00:00:00.000Z,0,,,34021001900,C,0,40.2,-74.7,3,,0,1,0,,4,1950-01-01T00:00:00.000Z,2001-02-25T00:00:00.000Z,,100000,,0,1,0,NJ,0,100000,2007,8638,0,b35e094d-d388-418d-ba3c-7be82e7b1953
