"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","State or Federal Agency ID","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Source Agency","Latitude","Longitude","County","State","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Purpose","Purposes","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Lock Width (Ft)","Years Modified","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL"
"Long Pine Pond Dam","","","NJ00283","","NJ00283","National Park Service","Federal","Federal","NJ-856","0","USDA NRCS","No","Yes","Yes","NJDEP","Yes","Yes","Yes","National Park Service","41.09709","-74.908349","Sussex","New Jersey","Millbrook Village","4","Vancampens Brook","","","National Park Service","National Park Service","Natural Resources Conservation Service;Natural Resources Conservation Service","Natural Resources Conservation Service","National Park Service","National Park Service","National Park Service","","Recreation","Fish and Wildlife Pond;Recreation","Earth","Earth","Earth","Soil","15","15","16","16","Less than 25 feet","410","6100","1995","1990-1999","535","535","341","29","0.42","89","Uncontrolled","2","0","0","0","","Uncontrolled","2022-04-18","","5","Low","Not Available","","Yes","","https://www.nps.gov/index.htm"
"Nj No Name No. 118 Dam","","","NJ00690","","NJ00690","David A. Fogg","Private","Private","34-23","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.52845","-75.43621666666667","Salem","New Jersey","","","Alloway Creek-TR","Congressional District 02, New Jersey","LOWER ALLOWAYS CREEK TWP","","","","","","","","","Other","Other","Earth","Earth;Gravity","","","8","","","8","Less than 25 feet","200","","","Undetermined","720","","720","20","1.4000000000000001","","","","","","","","","2022-04-11","2001-09-20","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Beatties Mill Dam                                                ","Little Falls Dam","","NJ00821","","NJ00821","Passaic Valley Water Commission","Public Utility","Public Utility","09194-01-01","1","","","Yes","Yes","NJDEP","Yes","Yes","Yes","Federal Energy Regulatory Commission","40.884100000000004","-74.23440000000001","Passaic","New Jersey","Little Falls                                      ","0","Passaic River                 ","","","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Hydroelectric;Water Supply","Masonry","Masonry;Gravity;Concrete","Concrete","Rock","12","","","12","Less than 25 feet","287","","1932","1930-1939","300","300","300","100","762","31700","Uncontrolled","267","","","","","","2022-04-18","2018-05-02","3","Low","Not Available","","Not Required","2004-06-14","https://www.ferc.gov/dam-safety-and-inspections"
"Seeley'S Pond Dam","","","NJ00368","","NJ00368","County of Union","Local Government","Local Government","25-18","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.66728333333333","-74.40328333333333","Union","New Jersey","","","Green Brook","Congressional District 07, New Jersey","SCOTCH PLAINS TOWNSHIP","","","","","","","","","Recreation","Recreation","Stone","Stone;Masonry","","","20.2","","","20.2","Less than 25 feet","850","","1928","1920-1929","101","","101","4","5.4","","","","","","","","","2022-04-11","2021-11-17","2","Significant","Satisfactory","2021-11-17","Yes","2011-01-26","https://damsafety.org/new-jersey"
"Hanover Lake Dam","Hanover Lake","","NJ00459","","NJ00459","USAF AMC","Federal","Federal","","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","US Air Force","39.983332999999995","-74.51805499999999","Burlington","New Jersey","BROWNS MILLS","0","HARTSHORNE MILL STREAM","","PEMBERTON","US Air Force","US Air Force","US Air Force","US Air Force","US Air Force","US Air Force","US Air Force","US Air Force","Recreation","Recreation","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","9","","","9","Less than 25 feet","400","","1948","1940-1949","847","847","142","75","17","840","Uncontrolled","","0","0","0","2005;2007","","2022-04-18","2021-03-29","2","Significant","Not Available","","Yes","2014-12-30","https://www.af.mil/"
"Atsion Lake Dam","","","NJ00041","","NJ00041","NJDOT","State","State","32-1","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.7406","-74.72664999999999","Burlington","New Jersey","","","Mullica River","Congressional District 03, New Jersey","SHAMONG TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","19","","","19","Less than 25 feet","590","","1930","1930-1939","250","","250","85","27","162","","","","","","","","2022-04-11","2021-05-07","2","High","Fair","2021-05-07","Yes","2020-04-01","https://damsafety.org/new-jersey"
"Lake Musconetcong Dam","","","NJ00328","","NJ00328","NJDOT","State","State","25-76","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.9018","-74.70478333333334","Morris","New Jersey","","","Musconetcong River","Congressional District 07, New Jersey","NETCONG BOROUGH","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth;Gravity","","","14","","","14","Less than 25 feet","237","","1933","1930-1939","220","","220","307","30.3","0","","","","","","","","2022-04-11","2021-05-27","2","High","Satisfactory","2021-05-27","Yes","2022-02-16","https://damsafety.org/new-jersey"
"Pohatcong Lake Dam","","","NJ00504","","NJ00504","NJDOT","State","State","32-32","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.60291666666666","-74.34173333333334","Ocean","New Jersey","","","Tuckerton Creek","Congressional District 02, New Jersey","TUCKERTON BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","9","","","9","Less than 25 feet","670","","1931","1930-1939","87","","87","37","12.3","0","","","","","","","","2022-04-11","2021-05-14","2","High","Satisfactory","2021-05-14","Yes","2020-04-01","https://damsafety.org/new-jersey"
"Lake Carasaljo Dam","","","NJ00083","","NJ00083","NJDOT","State","State","29-2","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.0855","-74.2155","Ocean","New Jersey","","","South Branch","Congressional District 04, New Jersey","LAKEWOOD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","16","","","16","Less than 25 feet","1700","","1870","Before 1900","800","800","480","92","26.7","2240","","","","","","","","2022-04-11","2020-03-09","2","High","Satisfactory","2020-03-09","Yes","2018-08-14","https://damsafety.org/new-jersey"
"Camp Beisler Dam","","","NJ00141","","NJ00141","NJ Synod - E.L.C.A.","Private","Private","24-87","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.75681666666666","-74.86415","Hunterdon","New Jersey","Califon","","Spruce Run","Congressional District 07, New Jersey","LEBANON TOWNSHIP","","","Natural Resources Conservation Service","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","17.1","","","17.1","Less than 25 feet","630","","1971","1970-1979","61","61","20","6","1.2","2630","","","","","","","","2022-04-11","2019-04-09","2","High","Poor","2019-04-09","Yes","2019-04-22","https://damsafety.org/new-jersey"
