DESIGNATEDNAME,RIVER,AREAID,BOUNDARYSTATUS,CLASSIFICATION,OBJECTID,SHAPEAREA,SHAPELEN
"Allegheny, Pennsylvania National Wild and Scenic River","Allegheny, Pennsylvania",133,Final,Recreational,159071,0.0153175599552821,3.1431322916417
"Bautista Creek, California National Wild and Scenic River","Bautista Creek, California",203,"Provisional, Subject to Change",Recreational,159072,0.0012692678084579,0.330748681692915
"Big Marsh Creek, Oregon National Wild and Scenic River","Big Marsh Creek, Oregon",68,"Provisional, Subject to Change",Recreational,159073,0.00212795714443725,0.481965256480723
"Cache la Poudre, Colorado National Wild and Scenic River","Cache la Poudre, Colorado",057,Final,Recreational,159074,0.0063705374121839,1.56836878608931
"Carp, Michigan National Wild and Scenic River","Carp, Michigan",121,Final,Recreational,159075,0.00058979788453575,0.194457741428081
"Chattooga, North Carolina, South Carolina and Georgia National Wild and Scenic River","Chattooga, North Carolina, South Carolina and Georgia",010,"Provisional, Subject to Change",Recreational,159076,0.0018580501945022,0.453516652325818
"Chetco, Oregon National Wild and Scenic River","Chetco, Oregon",069,Final,Recreational,159077,0.00146813446311495,0.290511243391887
"Clackamas, Oregon National Wild and Scenic River","Clackamas, Oregon",070,Final,Recreational,159078,0.0042567391112622,1.11703922762504
"Clarion, Pennsylvania National Wild and Scenic River","Clarion, Pennsylvania",157,"Provisional, Subject to Change",Recreational,159079,0.0047368095554703,1.10669982341667
"Collawash, Oregon National Wild and Scenic River","Collawash, Oregon",178,"Provisional, Subject to Change",Recreational,159080,0.0009198446018355,0.220045112715425
"Cossatot River, Arkansas National Wild and Scenic River","Cossatot River, Arkansas",136,Final,Recreational,159081,0.00051232493696005,0.232115401824207
"Crescent Creek, Oregon National Wild and Scenic River","Crescent Creek, Oregon",071,"Provisional, Subject to Change",Recreational,159082,0.0013821639708764,0.345512225581026
"Crooked, Oregon National Wild and Scenic River","Crooked, Oregon",BLM,"Provisional, Subject to Change",Recreational,159083,0.00139751253680185,0.378127945532157
"Deep Creek, California National Wild and Scenic River","Deep Creek, California",229,"Provisional, Subject to Change",Recreational,159084,0.00114601125242515,0.305446275161677
