OBJECTID,PROFILE,GNIS_NAME,SHEETNUM,LEN_MI,LEN_FT,SITUATION,ALT_NAME,HYPERLINK_EXT,THUMBNAIL,GLOBALID,SHAPE_Length
1,J0000100p,Long House Creek,25,4.40240573,23244.7022488,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000100p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000100p.jpg,{75410442-90B2-4D68-9079-F9438DF067E1},23244.7029554494
2,J0000099p,Long House Creek,26,0.00418594,22.10177802,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000099p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000099p.jpg,{457AC4C7-ABD8-4F89-8186-1E5BCF6B48A9},22.101733814437
3,J0000099p,Long House Creek,26,1.06171412,5605.85057192,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000099p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000099p.jpg,{1B719C6F-68A9-478A-A04D-809F60AF9FDB},5605.85037615933
4,M0000211p,Rancocas Creek,02P,2.30297479,12159.7068899,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000211p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000211p.jpg,{8D4C4DB5-E873-409A-8F98-D344AC510359},12159.7069236908
5,M0000215p,Rancocas Creek,04P,0.78959946,4169.08516631,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000215p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000215p.jpg,{784599A7-4807-420D-B9E2-FD1361FCBC8C},4169.08509793665
6,M0000105p,Barton Run,04P,1.70454545,9000,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000105p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000105p.jpg,{BD4B5310-9EA6-4122-B27D-F8D3FE05CD58},9000.00034502559
7,M0000166p,Masons Creek,06P,2.09649561,11069.4968265,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000166p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000166p.jpg,{D957035A-CFBE-4975-94E1-D92F26274A83},11069.4951510282
8,M0000131p,Southwest Branch South Branch Rancocas Creek,03P,1.89393939,10000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000131p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000131p.jpg,{44C4BA11-49DD-4C2B-888F-5CEA9A051334},9999.99940675279
9,M0000138p,Friendship Creek,15P,1.67012987,8818.28570151,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000138p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000138p.jpg,{7157F41A-E852-4945-9405-30EF19663EE0},8818.28624237693
10,M0000162p,Southwest Branch South Branch Rancocas Creek,04P,0.93207245,4921.34252303,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000162p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000162p.jpg,{B81328BD-4FAF-42F4-9357-20FB8B514305},4921.34237829572
11,M0000169p,South Branch Rancocas Creek,03P,2.08333333,11000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000169p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000169p.jpg,{7371477E-F96D-4DB8-BA98-F60971496869},11000.0001394532
12,M0000148p,North Branch Rancocas Creek,05P,1.5673215,8275.45752039,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000148p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000148p.jpg,{37F1FBF1-A485-43ED-A765-568017285A2D},8275.4575172337
13,M0000204p,North Branch Rancocas Creek,02P,1.78827981,9442.11741306,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000204p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000204p.jpg,{846065BC-5AE8-47E2-BEB2-1BC3E6CBA811},9442.11768489482
14,M0000197p,Rancocas Creek,01P,0.625318,3301.67904953,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000197p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000197p.jpg,{8DFA6491-1855-4E6D-A2F1-904EA8EFB699},3301.67879286158
15,M0000209p,Mill Creek,04P,1.70454545,9000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000209p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000209p.jpg,{CD825033-9D9F-4C0C-B74D-DC9BB031CA82},8999.99989138652
16,M0000171p,North Branch Rancocas Creek,01P,2.08333333,11000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000171p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000171p.jpg,{DA427DF8-5DEC-4DEB-A21C-5C089A903DB0},11000.0004317639
17,M0000126p,Barton Run,08P,0.97017217,5122.50905613,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000126p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000126p.jpg,{04B5C9C0-AD94-43B2-AF41-3175B0150751},5122.50942964919
18,SUPPXI14p,Edwards Run,ER-2,1.5530303,8200,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXI14p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXI14p.jpg,{EDF4CE76-05B6-43F2-89A4-9873049BD23F},8200.00035320671
19,M0000213p,Delaware River,06P,1.69738541,8962.19498424,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000213p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000213p.jpg,{295E5989-185B-4A12-82E7-322C6EAF89E6},8962.19502630179
